Using cpu device

🎯 Start training block 0
---------------------------------
| rollout/           |          |
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Ball passed the net, reward applied (+14).
Ball touching ground on opponent's side, reward applied (+70).
💾 Saving model at block 29

🎯 Start training block 30
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 65.2     |
|    ep_rew_mean     | 16.7     |
| time/              |          |
|    fps             | 605      |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 923648   |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 62.2         |
|    ep_rew_mean          | 8.86         |
| time/                   |              |
|    fps                  | 521          |
|    iterations           | 2            |
|    time_elapsed         | 7            |
|    total_timesteps      | 925696       |
| train/                  |              |
|    approx_kl            | 0.0127536915 |
|    clip_fraction        | 0.103        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.9         |
|    explained_variance   | 0.625        |
|    learning_rate        | 0.0003       |
|    loss                 | 254          |
|    n_updates            | 4510         |
|    policy_gradient_loss | -0.00527     |
|    value_loss           | 419          |
------------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 54.8      |
|    ep_rew_mean          | -1.45     |
| time/                   |           |
|    fps                  | 510       |
|    iterations           | 3         |
|    time_elapsed         | 12        |
|    total_timesteps      | 927744    |
| train/                  |           |
|    approx_kl            | 0.0081031 |
|    clip_fraction        | 0.0763    |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.96     |
|    explained_variance   | 0.637     |
|    learning_rate        | 0.0003    |
|    loss                 | 198       |
|    n_updates            | 4520      |
|    policy_gradient_loss | -0.00529  |
|    value_loss           | 362       |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 53.7       |
|    ep_rew_mean          | 10.8       |
| time/                   |            |
|    fps                  | 518        |
|    iterations           | 4          |
|    time_elapsed         | 15         |
|    total_timesteps      | 929792     |
| train/                  |            |
|    approx_kl            | 0.00782069 |
|    clip_fraction        | 0.0683     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.96      |
|    explained_variance   | 0.65       |
|    learning_rate        | 0.0003     |
|    loss                 | 87.8       |
|    n_updates            | 4530       |
|    policy_gradient_loss | -0.0071    |
|    value_loss           | 398        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54.2        |
|    ep_rew_mean          | 18.6        |
| time/                   |             |
|    fps                  | 494         |
|    iterations           | 5           |
|    time_elapsed         | 20          |
|    total_timesteps      | 931840      |
| train/                  |             |
|    approx_kl            | 0.008112716 |
|    clip_fraction        | 0.0845      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.98       |
|    explained_variance   | 0.619       |
|    learning_rate        | 0.0003      |
|    loss                 | 154         |
|    n_updates            | 4540        |
|    policy_gradient_loss | -0.00313    |
|    value_loss           | 336         |
